gene,category,rest_engagement,stim48_axis_proj,stim8_axis_proj
ASAH1,damaging,0.43977677822113037,-0.5570325255393982,0.10975013673305511
ASAP2,other,0.2602025866508484,-0.6486230492591858,-0.20506714284420013
ASAP3,damaging,0.45475834608078003,-0.3827243447303772,0.16964960098266602
ASB1,inflammatory,0.223300039768219,0.1988021582365036,0.03215520456433296
ASB14,damaging,0.3924180865287781,0.08803142607212067,0.1507737636566162
ASB8,other,0.023746920749545097,-0.41377249360084534,-0.34957656264305115
ASCC1,resting_sparing_suppressor,0.0036803127732127905,-0.660490095615387,-0.32497724890708923
ASCL1,damaging,0.33301034569740295,-0.44414299726486206,-0.1529567539691925
ASCL2,inflammatory,0.03508875146508217,0.4910312294960022,-0.01891096495091915
ASCL3,damaging,0.40442004799842834,0.41363853216171265,0.12458968907594681
ASCL5,inflammatory,0.19902242720127106,0.5657768845558167,0.5788849592208862
ASF1A,damaging,0.3388625681400299,-0.6507969498634338,-0.3808477222919464
ASIC1,other,0.2358826845884323,-0.36443737149238586,0.23062951862812042
ASL,damaging,0.31476086378097534,0.2042202651500702,-0.5113319158554077
ASMTL,other,0.11855980008840561,0.1184043288230896,0.02028392069041729
ASPH,damaging,0.3260258138179779,-0.4116756319999695,-0.27580446004867554
ASPHD2,other,0.1972004771232605,-0.23573487997055054,0.11250801384449005
ASRGL1,other,0.22511304914951324,-0.4712493419647217,-0.06616044789552689
ASTE1,resting_sparing_suppressor,0.20425264537334442,-0.507595956325531,-0.33242514729499817
ASTL,inflammatory,0.09315182268619537,0.17100821435451508,-0.14888714253902435
ASXL1,other,0.2592875063419342,-0.4064730703830719,-0.4400617778301239
ATAD1,other,0.2764776647090912,-0.38762134313583374,-0.39129650592803955
ATAD2,other,0.20275583863258362,-0.37907007336616516,-0.4811614751815796
ATAD3A,resting_sparing_suppressor,0.14883176982402802,-0.6098561882972717,-0.08597641438245773
ATAD5,damaging,0.3301093578338623,-0.6493174433708191,-0.5062947273254395
ATAT1,other,0.2782233953475952,-0.5662626028060913,-0.5359285473823547
ATF1,other,0.17936040461063385,-0.48565229773521423,0.0291727427393198
ATF2,inflammatory,0.13514669239521027,0.26530054211616516,0.32887932658195496
ATF7,inflammatory,0.023366371169686317,0.6224429607391357,0.5358669757843018
ATF7IP2,other,0.2396031618118286,-0.5212427377700806,-0.316461980342865
ATG10,inflammatory,0.15105175971984863,0.27983522415161133,-0.09738516062498093
ATG101,damaging,0.3141738474369049,-0.33679503202438354,-0.4768138527870178
ATG2A,damaging,0.3805084824562073,-0.5407185554504395,-0.4382067620754242
ATG3,other,0.2907302677631378,-0.47580671310424805,-0.20071467757225037
ATG5,other,0.0634421706199646,-0.40307217836380005,-0.23246034979820251
ATG7,other,0.004404860083013773,0.06864837557077408,0.31802651286125183
ATL3,resting_sparing_suppressor,0.184075266122818,-0.5216556787490845,-0.36158111691474915
ATM,other,0.0074143786914646626,-0.3982013165950775,-0.28368905186653137
ATN1,resting_sparing_suppressor,0.17669667303562164,-0.5069653987884521,0.21242208778858185
ATOH7,damaging,0.40235939621925354,-0.1391253024339676,0.25954023003578186
ATOX1,inflammatory,0.14586691558361053,0.3062274158000946,0.28548163175582886
ATP10D,other,0.17064867913722992,-0.29851019382476807,-0.5062451362609863
ATP13A1,inflammatory,0.22303111851215363,0.44705578684806824,-0.29796063899993896
ATP13A2,other,0.027084749191999435,0.04147077724337578,0.20675663650035858
ATP13A3,inflammatory,0.10244232416152954,0.6293060779571533,-0.0980791449546814
ATP1B1,other,0.22273775935173035,-0.6598454713821411,0.04390363022685051
ATP23,inflammatory,0.1710989624261856,0.333647757768631,-0.5200764536857605
ATP2A2,other,0.22547884285449982,0.10648339986801147,-0.5330402851104736
ATP2A3,other,0.24002686142921448,0.04791209101676941,-0.23373137414455414
ATP5IF1,other,0.20116716623306274,-0.128012552857399,-0.3038491904735565
ATP5MC1,damaging,0.4516957402229309,-0.14059439301490784,0.15454049408435822
ATP5MC3,other,0.23019494116306305,-0.14028991758823395,-0.43912258744239807
ATP5ME,damaging,0.4311176836490631,-0.4871947467327118,0.2789262533187866
ATP6V0A1,inflammatory,0.013058534823358059,0.4259415566921234,-0.3668763041496277
ATP6V0E1,other,0.2904846668243408,-0.552385151386261,-0.2559031844139099
ATP6V1C2,damaging,0.40873292088508606,-0.5916609764099121,-0.418081670999527
ATP6V1E2,damaging,0.3196299374103546,0.02700123004615307,-0.24754361808300018
ATP7A,other,0.08650390058755875,-0.24057215452194214,-0.16344840824604034
ATP8A1,other,0.037030790001153946,-0.43365785479545593,-0.19980600476264954
ATP8A2,other,0.24370694160461426,-0.2286551147699356,-0.25103041529655457
ATP8B2,damaging,0.3228910267353058,-0.6176642775535583,-0.4800427556037903
ATP8B3,resting_sparing_suppressor,0.03572016954421997,-0.6283854842185974,0.4061709940433502
ATP8B4,damaging,0.4767078161239624,-0.31813836097717285,-0.06324563175439835
ATP9B,damaging,0.3492005467414856,-0.4923183023929596,0.23473100364208221
ATPAF1,other,0.11106493324041367,-0.4311513900756836,-0.10830587893724442
ATRAID,other,0.13339276611804962,-0.4396553337574005,-0.49654677510261536
ATRN,inflammatory,0.04705021530389786,0.5813420414924622,-0.25489020347595215
ATRX,other,0.17330102622509003,-0.2341991364955902,-0.009086080826818943
ATXN2,other,0.28570643067359924,0.1228342279791832,-0.09284119307994843
ATXN7L3B,other,0.1595592051744461,-0.18394912779331207,0.1306292563676834
AUH,resting_sparing_suppressor,0.07168090343475342,-0.5262708067893982,-0.3048332929611206
AVEN,inflammatory,0.16696806252002716,0.5939722061157227,-0.2215573936700821
AVPI1,damaging,0.41074857115745544,-0.24117165803909302,0.12479005753993988
AXL,resting_sparing_suppressor,0.11430006474256516,-0.5952436923980713,-0.5023482441902161
AZIN1,other,0.1785503774881363,-0.25037890672683716,0.17424200475215912
