gene,condition,EN_D1,EN_D4
AFAP1,Rest,7.120387077331543,5.21577787399292
AFDN,Rest,7.014043807983398,4.75406551361084
AFF3,Rest,7.148667335510254,4.3085432052612305
AFF4,Rest,4.0618109703063965,5.397363185882568
AGA,Rest,6.883609294891357,4.666026592254639
AGAP1,Rest,6.8947858810424805,5.468043804168701
AGFG2,Rest,5.0762104988098145,4.752490043640137
AGGF1,Rest,7.713897705078125,4.217397212982178
AGK,Rest,7.214935302734375,5.491805553436279
AGL,Rest,7.028552532196045,5.345187664031982
AGMAT,Rest,7.170410633087158,5.418707370758057
AGO3,Rest,7.148290634155273,5.461675643920898
AGPAT2,Rest,7.037030220031738,5.247724533081055
AGPAT5,Rest,7.402699947357178,5.81327486038208
AGPS,Rest,7.940089702606201,4.961835861206055
AGTPBP1,Rest,4.80432653427124,5.469634532928467
AHDC1,Rest,7.279714107513428,4.559110641479492
AHI1,Rest,7.021918296813965,5.609958171844482
AHNAK,Rest,4.7736687660217285,5.253096103668213
AHSP,Rest,5.270133972167969,5.177382946014404
AIDA,Rest,6.460777759552002,4.797284126281738
AIG1,Rest,6.214075088500977,5.6306586265563965
AIMP1,Rest,6.612401008605957,5.451565265655518
AIMP2,Rest,7.175790786743164,5.285122394561768
AIRE,Rest,7.71984338760376,5.683509349822998
AJAP1,Rest,5.565487861633301,5.248051643371582
AK3,Rest,7.763035297393799,5.305824279785156
AK9,Rest,5.7060441970825195,5.529930591583252
AKAP1,Rest,7.1224517822265625,5.2929229736328125
AKAP11,Rest,6.491309642791748,5.869109153747559
AKAP17A,Rest,6.301515579223633,4.872777938842773
AKAP8L,Rest,5.843357086181641,5.513350009918213
AKAP9,Rest,7.123746395111084,5.094877243041992
AKIRIN1,Rest,6.223478317260742,5.810083866119385
AKR1B1,Rest,6.666143894195557,5.0728325843811035
AKR1C3,Rest,4.958498954772949,5.677582740783691
AKR1E2,Rest,3.63187575340271,5.650925159454346
AKR7A2,Rest,6.926389217376709,5.439479827880859
AKT1S1,Rest,7.193767070770264,4.6470866203308105
AKTIP,Rest,7.129115581512451,5.606428146362305
ALDH1A1,Rest,7.013294696807861,5.676268100738525
ALDH3A2,Rest,7.101643085479736,5.4004411697387695
ALDH5A1,Rest,5.476248741149902,5.577512741088867
ALDH7A1,Rest,7.903297424316406,4.671197414398193
ALDH9A1,Rest,7.464850425720215,5.748353004455566
ALDOC,Rest,6.6579766273498535,4.987691879272461
ALG12,Rest,6.889247894287109,5.318364143371582
ALG13,Rest,6.176185607910156,5.975530624389648
ALG3,Rest,5.779082775115967,5.524197101593018
ALG5,Rest,6.954772472381592,5.513699054718018
ALG6,Rest,7.131336688995361,5.237576961517334
ALG8,Rest,5.976078987121582,4.650937557220459
ALKAL2,Rest,7.058099746704102,4.232707500457764
ALKBH2,Rest,6.997703552246094,5.073972702026367
ALKBH3,Rest,6.963200569152832,5.379140377044678
ALKBH5,Rest,5.708312034606934,5.836705684661865
ALKBH8,Rest,7.239502429962158,5.740433216094971
ALPL,Rest,7.066030502319336,5.8338847160339355
ALS2,Rest,7.041804313659668,5.082592487335205
AMBRA1,Rest,4.962332725524902,4.839181423187256
AMIGO1,Rest,6.335127353668213,4.723106384277344
AMN,Rest,7.46494722366333,5.233847141265869
AMN1,Rest,7.676700115203857,5.125187873840332
AMOT,Rest,6.9249348640441895,5.102465629577637
AMPD3,Rest,6.066051006317139,4.718472480773926
ANAPC16,Rest,6.9671630859375,5.577757358551025
ANGEL1,Rest,7.020235538482666,5.512522220611572
ANGEL2,Rest,5.851077079772949,5.400574207305908
ANGPTL4,Rest,7.024631500244141,5.142805576324463
ANKAR,Rest,7.322999000549316,3.6631250381469727
ANKEF1,Rest,7.598944664001465,4.020618915557861
ANKFY1,Rest,7.91403341293335,3.8877358436584473
ANKMY1,Rest,7.206109523773193,4.970277786254883
ANKMY2,Rest,7.001048564910889,5.2039899826049805
ANKRD12,Rest,5.1843132972717285,5.42576789855957
ANKRD13A,Rest,7.822360515594482,5.3432135581970215
ANKRD13B,Rest,5.508650779724121,5.773120880126953
ANKRD26,Rest,7.0152740478515625,4.720916271209717
ANKRD27,Rest,6.9465203285217285,5.589679718017578
ANKRD33B,Rest,7.082295894622803,5.965969562530518
ANKRD36,Rest,7.047128677368164,4.545630931854248
ANKRD39,Rest,6.3720269203186035,5.257701873779297
ANKRD42,Rest,6.986031532287598,5.222581386566162
ANKRD54,Rest,6.555389881134033,5.603653430938721
ANKRD9,Rest,4.421670913696289,5.398412704467773
ANKS6,Rest,6.635251045227051,5.009742736816406
ANO10,Rest,7.243218898773193,5.430441856384277
ANO6,Rest,7.456295490264893,4.100184440612793
ANO8,Rest,7.408560276031494,5.7260332107543945
ANP32E,Rest,4.884457111358643,4.727095127105713
ANPEP,Rest,6.992300033569336,5.792086601257324
ANTXR2,Rest,4.178408145904541,5.354611873626709
ANXA1,Rest,6.70841646194458,5.066911697387695
ANXA11,Rest,7.035540580749512,4.9907450675964355
ANXA2,Rest,6.044473648071289,5.3921637535095215
ANXA4,Rest,5.297029495239258,5.797342300415039
ANXA5,Rest,3.6607437133789062,5.549533843994141
ANXA6,Rest,7.031721115112305,5.5002570152282715
