perturbation,EN_learned,argmin_depth,effect_size
POLR3B,3.0,4.0,2.4821
POLR3E,3.0,8.0,1.7649
POLR3H,3.0,2.0,1.7456
POLR3K,3.0,1.0,2.0626
POP1,3.0,5.333,3.3963
POP5,3.0,5.833,3.8796
POP7,3.0,5.0,1.4213
PPA2,3.0,6.0,2.0864
PPAN,3.0,2.0,3.7779
PPARGC1B,3.0,7.0,1.7257
PPIA,3.0,8.0,1.3789
PPIE,3.0,7.0,5.6224
PPIH,3.0,6.0,2.5218
PPIL2,3.0,7.333,1.8325
PPME1,3.0,4.0,1.3697
PPP1R2,3.0,7.167,2.0885
PPP2CA,3.0,7.0,1.7518
PPP4C,3.0,4.0,1.9351
PPP4R2,3.0,1.0,1.834
PPP6C,3.0,1.0,1.8049
PPRC1,3.0,6.0,3.9362
PRELID1,3.0,4.167,2.191
PRELID3B,3.0,3.0,4.0833
PRIM1,3.0,6.0,4.0561
PRKRA,3.0,4.833,2.334
PRMT1,3.0,6.833,3.0922
PRORP,3.0,2.167,2.9315
PRPF18,3.0,3.167,3.8632
PRPF19,3.0,5.0,4.2341
PRPF4,3.0,2.333,5.1608
PRPF4B,3.0,6.0,2.4692
PSMB2,3.0,5.0,4.3937
PSMD13,3.0,4.0,4.5559
PSMD9,3.0,7.167,1.7347
PSME2,3.0,6.0,1.3806
PSMG3,3.0,5.0,1.2428
PTK2,3.0,5.333,1.6175
PTMA,3.0,1.167,3.0081
PTPMT1,3.0,6.0,1.3732
PTPN23,3.0,8.0,1.4235
PXN,3.0,6.5,1.8342
QARS,3.0,4.0,5.3651
QRSL1,3.0,6.667,1.5857
RAB18,3.0,7.0,3.2907
RAB4A,3.0,6.0,1.1064
RAB6A,3.0,8.0,2.2726
RABGGTB,3.0,1.0,1.4379
RAC3,3.0,4.5,1.4146
RAD17,3.0,7.0,1.4983
RAD51,3.0,2.667,2.226
RAD51C,3.0,2.0,2.7173
RAD51D,3.0,1.0,1.4333
RAD9A,3.0,7.0,2.5169
RANGAP1,3.0,6.0,3.7017
RARS,3.0,4.167,4.5955
RARS2,3.0,1.0,2.2895
RBBP8,3.0,6.0,1.9135
RBM17,3.0,2.0,2.9579
RBM19,3.0,6.0,3.7027
RBM25,3.0,5.333,6.3076
RBM42,3.0,1.0,3.0145
RBM48,3.0,7.0,3.1926
RBMX2,3.0,2.667,4.4552
RBMXL1,3.0,6.833,2.2681
RCL1,3.0,5.5,3.9868
REXO2,3.0,5.333,3.1848
RFC2,3.0,5.833,3.0193
RFC3,3.0,6.0,2.6167
RFC4,3.0,6.0,3.0474
RFC5,3.0,6.167,2.2042
RFT1,3.0,2.333,1.6727
RINT1,3.0,6.0,2.0389
RIOK1,3.0,4.0,3.7523
RNASEH2C,3.0,1.0,2.3769
RNF123,3.0,8.0,1.668
RNF20,3.0,7.0,4.6536
RNF8,3.0,5.5,1.2603
RNGTT,3.0,5.0,2.1016
RNPC3,3.0,7.0,3.1384
ROMO1,3.0,5.5,3.9759
RPA2,3.0,6.0,4.1823
RPA3,3.0,6.0,3.529
RPAP2,3.0,3.0,5.001
RPF1,3.0,7.0,3.1912
RPL14,3.0,1.0,6.8645
RPL17,3.0,2.0,7.7022
RPL23,3.0,1.0,6.141
RPL24,3.0,2.0,5.2233
RPL26,3.0,2.0,5.3645
RPL27A,3.0,2.167,6.4147
RPL28,3.0,7.333,2.9366
RPL29,3.0,8.0,3.3525
RPL30,3.0,2.0,5.0746
RPL31,3.0,1.0,6.5832
RPL35,3.0,2.0,6.0454
RPL36A,3.0,7.0,3.3714
RPL36AL,3.0,6.0,1.3771
RPL39,3.0,2.0,5.2246
RPL41,3.0,3.0,2.5669
RPL6,3.0,2.0,6.4846
RPL7,3.0,1.0,5.8698
RPLP2,3.0,2.0,3.4642
RPN1,3.0,5.0,3.0474
RPN2,3.0,5.0,1.8512
RPP21,3.0,5.167,2.3288
RPP30,3.0,6.0,3.7474
RPP38,3.0,7.5,3.1716
RPS11,3.0,2.0,5.3753
RPS12,3.0,1.0,4.8084
RPS13,3.0,2.0,5.8011
RPS18,3.0,5.0,6.272
RPS21,3.0,2.833,3.5962
RPS23,3.0,8.0,5.8173
RPS26,3.0,1.0,5.8851
RPS27,3.0,5.833,5.0424
RPS27A,3.0,6.0,5.968
RPS4X,3.0,5.0,6.258
RPS5,3.0,2.0,5.3155
RPS6,3.0,2.0,6.5998
RPS7,3.0,4.667,5.6104
RPTOR,3.0,5.0,3.2251
RPUSD3,3.0,2.0,1.5266
RPUSD4,3.0,3.667,1.9945
RRN3,3.0,6.0,4.9218
RRP1,3.0,2.0,2.9043
RRP12,3.0,6.0,4.094
RRP7A,3.0,4.5,4.7495
RRP9,3.0,4.5,2.8607
RRS1,3.0,2.0,4.2813
RSRC2,3.0,8.0,2.1338
RTCB,3.0,6.667,1.7984
RTF1,3.0,6.0,6.7788
SACM1L,3.0,8.0,1.3547
SAE1,3.0,7.0,2.7839
SAMM50,3.0,2.0,4.0536
SAP18,3.0,4.667,3.6682
